user_id,start_hub,start_latitude,start_longitude,end_hub,end_latitude,end_longitude,total_distance,total_cost,start_time_iso,end_time_iso
134322,MARTA - GARNETT,33.74972167,-84.39483,CITY HALL,33.74843167,-84.39094333,0.29,0.0,2017-09-14 08:14:00,2017-09-14 08:18:00
530010,AUC - WOODRUFF LIBRARY,33.75203667,-84.41323667,MARTA - KING MEMORIAL ,33.75012333,-84.37605667,2.6,0.0,2017-09-14 08:17:00,2017-09-14 08:39:00
436352,CENTRAL PARK,33.76835333,-84.3777,CENTRAL PARK,33.76850667,-84.37764667,0.01,0.0,2017-09-14 08:17:00,2017-09-14 08:18:00
379013,MARTA - NORTH AVE ,33.772445,-84.387275,,33.77393333,-84.39797,0.86,2.0,2017-09-14 08:18:00,2017-09-14 08:25:00
436352,CENTRAL PARK,33.768435,-84.37766667,JUNIPER & 14TH ST,33.78627833,-84.38226667,1.48,0.0,2017-09-14 08:18:00,2017-09-14 08:29:00
344718,GSU MARTA,33.75100833,-84.38622167,PARK & MEMORIAL,33.74650667,-84.369605,1.74,0.0,2017-09-14 08:26:00,2017-09-14 08:40:00
428395,CENTRAL PARK,33.76834,-84.37762667,MARTA - CIVIC CENTER ,33.76476167,-84.38777667,0.84,0.0,2017-09-14 08:36:00,2017-09-14 08:45:00
484319,GEORGIA TECH - CLOUGH BUILDING,33.775275,-84.39623167,TECH SQUARE ,33.77696667,-84.38905833,0.52,0.0,2017-09-14 08:38:00,2017-09-14 08:44:00
137546,MARTA - NORTH AVE ,33.77242667,-84.38716667,GEORGIA TECH - CLOUGH BUILDING,33.77528,-84.39620333,0.95,1.2,2017-09-14 08:42:00,2017-09-14 08:51:00
360564,JACKSON & CHAMBERLAIN,33.753775,-84.37421333,,33.762895,-84.38058833,0.95,2.0,2017-09-14 08:43:00,2017-09-14 08:52:00
402627,, - , - ,, - , - ,0.0,0.0,2017-09-14 08:45:00,2017-09-14 09:21:00
484319,TECH SQUARE ,33.77696667,-84.38905833,GEORGIA TECH -BOBBY DODD STADIUM,33.77149,-84.39191333,0.57,0.0,2017-09-14 09:06:00,2017-09-14 09:11:00
254586,NELSON ST BRIDGE,33.75220167,-84.39779167,MARTA - WEST END ,33.73695,-84.413785,1.53,0.0,2017-09-14 09:07:00,2017-09-14 09:20:00
529538,CENTRAL PARK,33.76852167,-84.37779167,GEORGIA TECH - CLOUGH BUILDING,33.77522167,-84.396315,1.65,0.0,2017-09-14 09:09:00,2017-09-14 09:27:00
365548,GEORGIA TECH -BOBBY DODD STADIUM,33.77142167,-84.39210667,GEORGIA TECH - CLOUGH BUILDING,33.77525833,-84.39622,0.56,0.0,2017-09-14 09:12:00,2017-09-14 09:16:00
347127,GEORGIA TECH - CRC,33.77548333,-84.40240333,GEORGIA TECH - CLOUGH BUILDING,33.77521167,-84.396315,0.71,0.0,2017-09-14 09:15:00,2017-09-14 09:23:00
516646,HARDY IVY PARK,33.76275,-84.38743167,GEORGIA TECH - TRANSIT HUB,33.77270667,-84.39723667,1.26,0.0,2017-09-14 09:21:00,2017-09-14 09:33:00
493886,GEORGIA TECH - CRC,33.77568167,-84.40249667,GEORGIA TECH -BOBBY DODD STADIUM,33.77140167,-84.39202667,0.78,0.0,2017-09-14 09:21:00,2017-09-14 09:28:00
464410,,33.75311667,-84.39083333,GSU ARTS & HUMANITIES BLDG,33.75418,-84.38630833,0.68,-1.0,2017-09-14 09:22:00,2017-09-14 09:30:00
497192,TECH PARKWAY,33.77743833,-84.407635,GEORGIA TECH - CLOUGH BUILDING,33.775235,-84.39624,0.87,0.0,2017-09-14 09:24:00,2017-09-14 09:29:00
525227,GEORGIA TECH - WEST CAMPUS HOUSING ,33.778755,-84.40448833,GEORGIA TECH - WEST CAMPUS HOUSING ,33.77869833,-84.40449333,0.94,0.0,2017-09-14 09:25:00,2017-09-14 10:29:00
506609,MARTA - MIDTOWN  (NORTH),33.78150167,-84.38619167,GEORGIA TECH - CLOUGH BUILDING,33.775265,-84.39621,1.03,0.0,2017-09-14 09:28:00,2017-09-14 09:34:00
489125,KING OF POPS,33.76373,-84.358965,TECH SQUARE ,33.77695833,-84.388915,2.95,0.0,2017-09-14 09:29:00,2017-09-14 09:49:00
524256,GRANT PARK ,33.73585667,-84.37362833,MARTA - FIVE POINTS ,33.75361833,-84.39074,2.2,0.0,2017-09-14 09:32:00,2017-09-14 09:57:00
137024,WOODRUFF PARK,33.75617333,-84.38816333,,33.757655,-84.37996,0.63,2.0,2017-09-14 09:48:00,2017-09-14 09:54:00
137024,,33.757655,-84.37996,CITY HALL,33.748415,-84.39090833,1.15,-1.0,2017-09-14 09:56:00,2017-09-14 10:09:00
151316,ATLANTA BICYCLE COALITION - VIRTUAL HUB,33.75259,-84.35810167,HISTORIC FOURTH WARD PARK,33.77078333,-84.36546,1.96,0.0,2017-09-14 10:02:00,2017-09-14 10:13:00
529234,FEDERAL RESERVE BANK OF ATLANTA,33.783235,-84.38465167,CENTENNIAL OLYMPIC PARK,33.760445,-84.39458667,2.66,0.0,2017-09-14 10:08:00,2017-09-14 11:36:00
